pwys,pound,noun
ansoddol,qualitative,adjective
sirioli,gladden,verb
etholwr,voter,noun
gweddol,fairly,adjective
llawer,many,adjective
Owain,Owain,properNoun
taldra,height,noun
dadleuol,controversial,adjective
canolbarth,central region,noun
anialwch,wilderness,noun
ecolegol,ecological,adjective
gweru,grease,verb
croesi,cross,verb
cydariannu,co-finance,verb
ysbrydoli,inspire,verb
clatsian,crackle,verb
ymylu,border,verb
Kerri,Kerri,properNoun
Nant Gwrtheyrn,Nant Gwrtheyrn,properNoun
berweddu,brew,verb
atgyweiriad,repair,noun
blaenol,leading,adjective
fforddio,afford,verb
llywyddu,preside,verb
mantellu,cloak,verb
gwelwi,dim,verb
addawol,promising,adjective
confensiynol,conventional,adjective
technegol,technical,adjective
arbrawf,experiment,noun
llifianu,grind,verb
cyflenwol,complementary,adjective
llywodraethol,governing,adjective
Glasgow,Glasgow,properNoun
catalydd,catalyst,noun
cyfrinair,password,noun
amharod,unprepared,adjective
swyddfa,office,noun
saeth,arrow,noun
canoli,centralise,verb
anfoddhaol,unsatisfactory,adjective
ran-gyflenwad,part-fulfilment,noun
newid,change,noun
Walter,Walter,properNoun
i'r dim,exactly,adverb
Stuart,Stuart,properNoun
gwobr,prize,noun
sgema,schema,noun
dwywaith,twice,adverb
ffidlan,fiddle,verb
rhathu,smooth,verb
barugo,get frosty,verb
rhag,from,preposition
Lexie,Lexie,properNoun
cryfhau,strengthen,verb
critigol,critical,adjective
chwilio am,search for,verb
lloeren,satellite,noun
doethinebu,pontificate,verb
Sul,Sunday,noun
trydedd,third,adjective
aber,estuary,noun
gofod,whitespace,noun
tameidiog,fragmented,adjective
Paraguay,Paraguay,properNoun
Caerdydd,Cardiff,properNoun
batri,battery,noun
tawlu,throw,verb
drwg,bad,adjective
personoliaeth,personality,noun
Lawrence,Lawrence,properNoun
Togo,Togo,properNoun
Laos,Laos,properNoun
debyd,debit,noun
bisged,biscuit,noun
gwlyb,wet,adjective
gorfynych,over-frequent,adjective
Mauritania,Mauritania,properNoun
esgymuno,excommunicate,verb
Antonia,Antonia,properNoun
siomi,disappoint,verb
adwy,pass,noun
hoffeicon,favicon,noun
recordio,record,verb
Asia,Asia,properNoun
ffrwydryn,mine,noun
cynhennu,quarrel,verb
cydfenthyg,borrow jointly,verb
ansicrwydd,uncertainty,noun
ceffyl,horse,noun
tywyllhau,darken,verb
amlap,wrap-around,noun
trychineb,disaster,noun
dydd Mawrth,Tuesday,noun
Guinea,Guinea,properNoun
cydlyniad,compilation,noun
clandrio,reckon,verb
gwasgaredig,scattered,adjective
amser,time,noun
cyfarchydd,greeter,noun
sudd,juice,noun
gorsedd,throne,noun
gostyngiad,reduction,noun
toredig,broken,adjective
ymadawedig,deceased,adjective
crecio,cackle,verb
caniatáu,allow,verb
fel y cyfryw,as such,adverb
dygyforio,create commotion,verb
refferendwm,referendum,noun
eiddigeddu,envy,verb
Damien,Damien,properNoun
mecaneg,mechanics,noun
gwagio,empty,verb
erthylu,abort,verb
perifferolyn,peripheral,noun
Zak,Zak,properNoun
Myfanwy,Myfanwy,properNoun
Nicaragua,Nicaragua,properNoun
ymhalogi,defile oneself,verb
defnyddio,use,verb
defnyddio,use,presentParticipleAdjective
Gethin,Gethin,properNoun
comisiynu,commission,verb
cost-effeithiol,cost-effective,adjective
Rhyl,Rhyl,properNoun
ystyried,consider,verb
bro,region,noun
crasu,bake,verb
ailstorio,store again,verb
ymddygiadol,behavioural,adjective
haid,swarm,noun
briwlio,broil,verb
Moldova,Moldova,properNoun
cyfrddwyn,remove entirely,verb
cyflymu,accelerate,verb
cyfundrefnu,systematise,verb
ehedfan,fly,verb
ystyrio,consider,verb
Perw,Peru,properNoun
Julyan,Julyan,properNoun
eitha,extremely,adverb
miligram,milligram,noun
Mohammad,Mohammad,properNoun
Heddlu'r Gogledd,North Wales Police,properNoun
cyffwrdd,touch,verb
ffi,fee,noun
Katelyn,Katelyn,properNoun
mewnol,internal,adjective
paled,palette,noun
cylchredeg,circulate,verb
tueddu,tend to,verb
ordeinio,ordain,verb
anffurfio,deform,verb
llungopi,photocopy,noun
peirianyddol,mechanical,adjective
gorddrafft,overdraft,noun
cysylltnodydd,hyphenator,noun
mentro,venture,verb
gyda llaw,by the way,adverb
bar,bar,noun
cynsail,precedent,noun
Keiran,Keiran,properNoun
rhyng-broffesiynol,inter-professional,adjective
annarllenadwy,unreadable,adjective
blaenddodi,prefix,verb
Macau,Macau,properNoun
mwynhad,enjoyment,noun
disychu,slake thirst,verb
hau,sow,verb
rhygnu,grate,verb
cyrchydd,cursor,noun
ar eu pennau eu hun,on their own,adverb
Ryan,Ryan,properNoun
difaterwch,apathy,noun
dosbarth,class,noun
Blanche,Blanche,properNoun
deddfwriaethol,legislative,adjective
ynad,magistrate,noun
pastynu,cudgel,verb
trawsfudo,transmigrate,verb
gweithgor,working party,noun
carchar,prison,noun
radian,radian,noun
sgwennu,write,verb
Luanda,Luanda,properNoun
y Traeth Ifori,Côte d'Ivoire,properNoun
diraenu,scowl,verb
domino,domino,noun
Sir Gaerfyrddin,Carmarthenshire,properNoun
Mhairi,Mhairi,properNoun
ysgrifenadwy,writeable,adjective
marwol,fatal,adjective
ei,his,adjective
ei,his,pronoun
ei,his,possessivePronoun
ei,his,determiner
ei,his,possessivePronoun
ei,his,determiner
ei,his,adjective
ei,his,pronoun
ei,his,possessivePronoun
ei,his,determiner
ei,his,possessivePronoun
ei,his,determiner
cartref,home,noun
graeanu,granulate,verb
seineg,phonetics,noun
Ailsa,Ailsa,properNoun
gwalteisio,hem,verb
defnyddiwr,user,noun
jocan,joke,verb
anhyblyg,rigid,adjective
clyfar,clever,adjective
nos Wener,Friday night,noun
cyfriniaeth,mysticism,noun
Philip,Philip,properNoun
perthnasol,relevant,adjective
gwefru,charge,verb
ledled,far and wide,adverb
seinio,resound,verb
cytunedig,agreed,adjective
ymson,soliloquise,verb
diasgellu,separate,verb
penodol,specific,adjective
parhad,continuation,noun
tanchwa,explosion,noun
camliwio,misrepresent,verb
tywyll,dark,adjective
trwmpo,trump,verb
cydol,whole,noun
Tunisia,Tunisia,properNoun
aros,wait,verb
yr Emiradau Arabaidd Unedig,United Arab Emirates,properNoun
weithiau,sometimes,adverb
llewyrch,radiance,noun
ar eich pen eich hun,on your own,adverb
cydadferiad,compensation,noun
Congo,Congo,properNoun
cyfrifiadureg,computing,noun
diosgi,divest,verb
cywirydd,checker,noun
dull,method,noun
licio,like,verb
dymchwel,overturn,verb
munud,minute,noun
cydymffurfio,conform,verb
Bennet,Bennet,properNoun
y Taleithiau Unedig,United States,properNoun
serth,steep,adjective
atwrneiaeth,attorneyship,noun
cymeriadau,characters,noun
aildroseddu,reoffend,verb
monsŵn,monsoon,noun
trawsdoriad,cross-section,noun
gwaedoliaeth,consanguinity,noun
Augsburg,Augsburg,properNoun
tremu,perceive,verb
arbelydru,irradiate,verb
ewynnu,foam,verb
mis Rhagfyr,December,noun
cysylltiad,connection,noun
emosiwn,emotion,noun
rhuthro,rush,verb
mis Awst,August,noun
Jennifer,Jennifer,properNoun
alcoholiaeth,alcoholism,noun
celfigyn,widget,noun
Wright,Wright,properNoun
Joanna,Joanna,properNoun
sïo,buzz,verb
godro,milk,verb
ariannol,monetary,adjective
ymdrinio,strive,verb
llurgunio,mutilate,verb
glanhad,cleanup,noun
cebystru,halter,verb
Bradley,Bradley,properNoun
tansuddo,submerge,verb
burum,yeast,noun
adeiladiad,build,noun
tosturiol,compassionate,adjective
trigiannu,dwell,verb
deintio,nibble,verb
gwawr,dawn,noun
nos Sul,Sunday night,noun
Denmarc,Denmark,properNoun
cnuchio,copulate,verb
gwasanaethu,serve,verb
aildeipio,retype,verb
chwalfa,crash,noun
aneffeithiolrwydd,ineffectiveness,noun
gair,word,noun
caglo,befoul,verb
cyrchnod,goal,noun
meddyg,doctor,noun
syrthio,fall,verb
Elise,Elise,properNoun
tanio,fire,verb
cruglwytho,heap together,verb
maen prawf,milestone,noun
paratoi,prepare,verb
croesfertig,vertically opposite,adjective
ffidlo,fiddle,verb
cardiolegydd,cardiologist,noun
gyrru,drive,verb
dwyrain,east,noun
chwaraewr,player,noun
brwydr,battle,noun
perwyl,purpose,noun
olwynio,wheel,verb
stoc,stock,noun
mwyach,any more,adverb
mwg,smoke,noun
babi,baby,noun
eicon,icon,noun
hepian,nod off,verb
corganu,chant,verb
Arantxa,Arantxa,properNoun
adfail,ruin,noun
boddhaol,satisfactory,adjective
corfannu,scan,verb
Kaden,Kaden,properNoun
perffeithio,perfect,verb
Saudi Arabia,Saudi Arabia,properNoun
halltu,salt,verb
gwallgof,mad,adjective
samplu,sample,verb
Caitlin,Caitlin,properNoun
oer,cold,adjective
cyfosod,juxtaposition,noun
difwlch,gapless,adjective
menyn,butter,noun
atyfu,regrow,verb
anghyson,inconsistent,adjective
glanio,land,verb
cynhaliaeth,support,noun
llywyddiaeth,presidency,noun
dibynnu,depend,verb
darnguddio,conceal partially,verb
cyfun,merged,adjective
Gweriniaeth y Tsieciaid,Czech Republic,properNoun
tra-awdurdodi,dominate,verb
mabwysiadu,adopt,verb
damnïol,damning,adjective
breuddwyd,dream,noun
rhesymegu,think logically,verb
ar dy ben dy hun,on your own,adverb
rhinwedd,virtue,noun
casét,cassette,noun
ysgafnu,lighten,verb
mydr,metre,noun
rhagolygu,forecast,verb
sir,county,noun
mecaneiddio,mechanise,verb
dro ar ôl tro,time after time,adverb
effeithlonrwydd,efficiency,noun
nawseiddio,soften,verb
potelu,bottle,verb
dryllio,shatter,verb
cylchol,recurring,adjective
llipa,floppy,adjective
mygu,suffocate,verb
seicolegwr,psychologist,noun
Bryce,Bryce,properNoun
afrealistig,unrealistic,adjective
dilynol,subsequent,adjective
cydgynnull,gather together,verb
Elynor,Elynor,properNoun
y Deyrnas Gyfunol,United Kingdom,properNoun
cynnwys,content,noun
siswrn,pair of scissors,noun
trapio,trap,verb
lleihau,diminish,verb
Gyles,Gyles,properNoun
ar gael,available,adverb
canfasio,canvass,verb
Seland Newydd,New Zealand,properNoun
fandaleiddio,vandalise,verb
agen,slot,noun
ymladd,combat,noun
afreoleidd-dra,irregularity,noun
ymgyrch,campaign,noun
moelio,become bald,verb
King,King,properNoun
archaeoleg,archaeology,noun
bwriad,intention,noun
ymhelaethu,enlarge upon,verb
defnydd,material,noun
disgyblaeth,discipline,noun
maglu,snare,verb
dotwaith,stipple,noun
colledig,lost,adjective
dyfru,water,verb
pereiddio,sweeten,verb
cynulleidfa,audience,noun
ymadrodd,converse,verb
dolurio,grieve,verb
ffarwelio,farewell,verb
cenhinen,leek,noun
diamod,unconditional,adjective
côr,choir,noun
wyneblasu,turn pale,verb
aeddfed,mature,adjective
Christine,Christine,properNoun
gofyn,ask,verb
adfywhau,reanimate,verb
henna,henna,noun
byrhau,shorten,verb
ailchwarae,replay,verb
Enric,Enric,properNoun
Webb,Webb,properNoun
anffodus,unfortunate,adjective
uniaethu,identify with,verb
Ffindir,Finland,properNoun
camdeipio,mistype,verb
llathru,gleam,verb
Cecil,Cecil,properNoun
dadreoleiddio,deregularise,verb
archif,archive,noun
Anys,Anys,properNoun
adolygiad,review,noun
annos,incite,verb
diystyru,despise,verb
perffaith,perfect,adjective
camplawn,excellent,adjective
neilltuol,particular,adjective
personél,personnel,noun
cynhinio,rend,verb
hawl,right,noun
Papwa Gini Newydd,Papua New Guinea,properNoun
rownd,round,noun
Americanaidd,American,adjective
clatsio,clout,verb
loncian,jog,verb
trynewid,permutation,noun
ergonomeg,ergonomics,noun
pwffian,puff,verb
rhywun,someone,pronoun
hidlo,strain,verb
delweddu,portray,verb
lluchio,throw,verb
lefeinio,leaven,verb
pleser,pleasure,noun
cyfeiriol,directional,adjective
Folke,Folke,properNoun
llawnodi,brand,verb
hyfforddiad,tutorial,noun
cyfanwerthwr,wholesaler,noun
haearn,iron,noun
brasgamu,stride,verb
dychmygu,imagine,verb
yn unol â,in accordance with,preposition
gwas y neidr,dragonfly,noun
Gambia,The Gambia,properNoun
Gwent,Gwent,properNoun
anghysbell,remote,adjective
petrus,tentative,adjective
proflen,proof,noun
achlysuro,occasion,verb
arlliw,tint,noun
llesol,advantageous,adjective
Jason,Jason,properNoun
dyfarnu,adjudicate,verb
achos,cause,noun
cynrychioliad,representation,noun
priflythyren,capital letter,noun
cynnau,start,verb
cydweddiad,match,noun
ymateb,response,noun
atynnu,attract,verb
dyma,this is,adverb
fflamychu,blaze,verb
anawdurdodedig,unauthorised,adjective
cytal,cohabit,verb
Pen-y-bont ar Ogwr,Bridgend,properNoun
eleni,this year,adverb
dangosydd,display,noun
cynhyrfu,agitate,verb
cyfannol,integrated,adjective
concro,conquer,verb
yr Arfordir Ifori,Côte d'Ivoire,properNoun
dalwedd,captcha,noun
amsernod,timestamp,noun
tracio,track,verb
arolwg,overview,noun
Elfed,Elfed,properNoun
Gorffennaf,July,noun
Afghanistan,Afghanistan,properNoun
pot,pot,noun
ebostach,spam,noun
asbestos,asbestos,noun
ailfeddwl,rethink,verb
datgloi,unlock,verb
is-raddedig,undergraduate,noun
Darcey,Darcey,properNoun
Luxembourg,Luxembourg,properNoun
meintiol,quantitative,adjective
dirlawnder,saturation,noun
ymgom,dialogue,noun
trosydd,converter,noun
uchelgais,ambition,noun
addasadwy,customisable,adjective
ailhyfforddi,retrain,verb
Edwina,Edwina,properNoun
ffos,ditch,noun
clepio,tattle,verb
BBC Cymru,BBC Cymru,properNoun
eluse garwch,benevolence,noun
cydbwysedd,balance,noun
pobol,person,noun
Reginald,Reginald,properNoun
gwefan,website,noun
ymrafael,controversy,noun
planedig,embedded,adjective
Arron,Arron,properNoun
bysu,finger,verb
Christopher,Christopher,properNoun
casgliad,collection,noun
leicio,like,verb
twrian,burrow,verb
betio,bet,verb
cwpla,complete,verb
cynuta,gather fuel,verb
gwyrdd,green,adjective
jar,jar,noun
Caerffili,Caerphilly,properNoun
hectar,hectare,noun
bys,finger,noun
cynio,gouge,verb
synfyfyrio,ponder,verb
clwb,club,noun
bygylu,terrify,verb
Jay,Jay,properNoun
crogi,hang,verb
crogi,hang,presentParticipleAdjective
priodas,marriage,noun
milofyddiaeth,zoology,noun
hercio,hobble,verb
Yr Alban,Scotland,properNoun
Euan,Euan,properNoun
tisio,sneeze,verb
arbed,save,verb
Dixon,Dixon,properNoun
hyfywedd,viability,noun
ailhyfforddiant,retraining,noun
ffafriol,favourable,adjective
cnocellu,peck,verb
adfewnio,re-enter,verb
gwrthdroedig,reverse,adjective
Levi,Levi,properNoun
pennill,verse,noun
anarferol,unusual,adjective
llymeitian,sip,verb
ymdriniaeth,treatment,noun
deallusol,intellectual,adjective
MacLeod,MacLeod,properNoun
ysgol,ladder,noun
nithio,sift,verb
celc,cache,noun
Hwngaria,Hungary,properNoun
anaddasu,disqualify,verb
bendigedig,wonderful,adjective
Gary,Gary,properNoun
Annabel,Annabel,properNoun
haenu,layer,verb
mohonom ni,not us,adverb
rhyddhad,emancipation,noun
cynrychiolwr,representative,noun
llethol,oppressive,adjective
cetrisen,cartridge,noun
ôl-raddedig,postgraduate,adjective
cariwr,carrier,noun
bacsu,muddle through,verb
esbonyddol,exponential,adjective
tetrahedron,tetrahedron,noun
ffilm,film,noun
Benjamin,Benjamin,properNoun
cydweithiwr,colleague,noun
Sahara,Sahara,properNoun
tôn,tone,noun
afreolaidd,irregular,adjective
heulwen,sunshine,noun
ymherodr,emperor,noun
ymysg,among,preposition
gyd-benodiad,joint appointment,noun
ail,second,adjective
dewisiad,option,noun
pluennu,feather,verb
anarferedig,obsolete,adjective
stocanu,stook,verb
Cymru,Wales,properNoun
hectometr,hectometre,noun
llys-riant,step-parent,noun
twnnel,tunnel,noun
gweinyddiaeth,administration,noun
diwinyddiaeth,theology,noun
trugarhau,pity,verb
Hercules,Hercules,properNoun
Hewrey,Hewrey,properNoun
blas,flavour,noun
cwmpas,scope,noun
mesuro,measure,verb
gwelltyn,blade of grass,noun
rhyfygu,behave arrrogantly,verb
byclu,buckle,verb
Ayla,Ayla,properNoun
Ciwba,Cuba,properNoun
Duncan,Duncan,properNoun
darogan,predict,verb
hysbysedig,notified,adjective
Casnewydd,Newport,properNoun
tenantiaeth,tenancy,noun
biwrocratiaeth,bureaucracy,noun
llewyrchus,prosperous,adjective
gwisg,dress,noun
Candela,Candela,properNoun
isafrif,minimum,noun
adolygiadau,reviews,noun
o,of,preposition
cyflawni,accomplish,verb
negesa,run a message,verb
baw,mud,noun
Claire,Claire,properNoun
cydlifio,flow together,verb
hoff,favourite,adjective
Antigua a Barbuda,Antigua and Barbuda,properNoun
cyfangu,contract,verb
rhidyllio,sift,verb
addasu,adapt,verb
hidlen,filter,noun
bacio,back,verb
gwlad,country,noun
iechyd,health,noun
prifio,flourish,verb
graffigyn,graphic,noun
darlleniad,reading,noun
pos,puzzle,noun
gweladwy,visible,adjective
addasiad,modification,noun
barn,opinion,noun
difreintiedig,disadvantaged,adjective
llethr,slope,noun
sefydlogi,stabilise,verb
cwtogi,shorten,verb
Belize,Belize,properNoun
gollyngiad,release,noun
gorflino,overtire,verb
pardynu,pardon,verb
cynhwynol,inherent,adjective
perthynas,relative,noun
heb,without,preposition
pallu,refuse,verb
gwarchodaeth,custody,noun
dylanwadu,influence,verb
argraffedig,printed,adjective
morlys,admiralty,noun
gorchfygu,conquer,verb
hagru,disfigure,verb
paffio,box,verb
adduned,resolution,noun
cornio,gore,verb
amlygu,reveal,verb
gwaelu,deteriorate,verb
moes,morality,noun
iselhau,lower,verb
gwrthganu,satirise,verb
cyfodli,rhyme with,verb
trampio,tramp,verb
crynoëdig,abridged,adjective
achyddiaeth,genealogy,noun
pysgodyn,fish,noun
cledru,beat,verb
cledru,beat,presentParticipleAdjective
peidio â,stop,verb
claddu,bury,verb
cylchlythyru,circularise,verb
camatal,withhold unjustly,verb
Alexandra,Alexandra,properNoun
mentergarol,entrepreneurial,adjective
crefyddolder,religiousness,noun
traethu,pronounce,verb
niwsans,nuisance,noun
ymgynghori,consult,verb
cyfalaf,capital,noun
cydnabyddiaeth,recognition,noun
brochi,foam,verb
palas,palace,noun
cymedrolwr,moderate,noun
cydnaws,compatible,adjective
dadwisgo,undress,verb
dibwys,trivial,adjective
crwnio,croon,verb
Júlia,Júlia,properNoun
cyfyngiad,restriction,noun
cneua,gather nuts,verb
ffurfdroëdig,declined,adjective
croesgyfeirio,cross-refer,verb
Paterson,Paterson,properNoun
ailfreinio,re-enfranchise,verb
hybu,promote,verb
llwm,bare,adjective
smwddio,iron,verb
datselio,unseal,verb
murmuro,murmer,verb
islythyren,lower-case letter,noun
lot o,a lot of,pronoun
lot o,a lot of,determiner
lot o,a lot of,pronoun
lot o,a lot of,determiner
lot o,a lot of,pronoun
lot o,a lot of,determiner
lot o,a lot of,pronoun
lot o,a lot of,determiner
Milan,Milan,properNoun
eithaf,maximum,adjective
Gwyn,Gwyn,properNoun
canolbwyntio,concentrate,verb
awdurdod,authority,noun
ffoto,photo,noun
ymyriad,interrupt,noun
bodio,thumb,verb
dyddiedig,dated,adjective
sglefrio,skate,verb
sglefrio,skate,presentParticipleAdjective
Bahamas,Bahamas,properNoun
Ynys y Santes Lwsia,Saint Lucia,properNoun
goleuad,light,noun
anfonebu,invoice,verb
cwpwrdd,cupboard,noun
procio,poke,verb
Bosnia,Bosnia and Herzegovina,properNoun
archifo,archive,verb
diosod,unset,adjective
graddio,graduate,verb
cadw-mi-gei,moneybox,noun
grymuso,strengthen,verb
clefyd,illness,noun
hynny,that,relativePronoun
hynny,that,pronoun
hynny,that,determiner
hynny,that,demonstrativePronoun
noddfa,refuge,noun
mynegi,express,verb
pwffio,puff,verb
Alice,Alice,properNoun
gweitio,wait,verb
cymdeithas,association,noun
llusgadwy,draggable,adjective
Ynysoedd Caiman,Cayman Islands,properNoun
traeanu,divide into thirds,verb
Manceinion,Manchester,properNoun
rhisglio,peel,verb
dychmygiad,visualisation,noun
ffrwtian,simmer,verb
ailddyblu,redouble,verb
Cassie,Cassie,properNoun
miliynfed,millionth,adjective
sgrap,scrap,noun
disgyblaethu,discipline,verb
Brasília,Brasilia,properNoun
cwympo,fall,verb
gwrthgilio,recede,verb
cyffeithio,pickle,verb
cymhareb,ratio,noun
mabwysiad,adoption,noun
cyfanhau,unite,verb
gweithlen,worksheet,noun
ymgyfeillachu,associate oneself,verb
elwa,profit,verb
adneuo,deposit,verb
cyfieithu,translate,verb
medd,say,verb
ailrestru,relist,verb
decametr,decametre,noun
Clarice,Clarice,properNoun
dilyniant,sequence,noun
lanlwythiad,upload,noun
Melita,Malta,properNoun
dewis,choose,verb
llyfu,lick,verb
morgeisio,mortgage,verb
lapio,wrap,verb
ystadegol,statistical,adjective
lledorwedd,recline,verb
ymgecru,quarrel,verb
glafoeri,slaver,verb
genetig,genetic,adjective
propaganda,propaganda,noun
ochr-olwg,side view,noun
cwpelu,purify,verb
Benet,Benet,properNoun
uwchlaw,above,preposition
cyfaddodi,compromise,verb
tewi,keep silent,verb
beic,bike,noun
trigo,die,verb
trigo,die,presentParticipleAdjective
ffit,fit,adjective
porth,port,noun
stampiedig,stamped,adjective
e-asesu,e-assessment,noun
ailwampio,rework,verb
chwythu,blow,verb
llysenwi,nickname,verb
cyflogwr,employer,noun
crewtio,whine,verb
y Fatican,Vatican City,properNoun
fechnïaeth,bail,noun
cyfetholi,co-opt,verb
carn,hilt,noun
tresmasu,trespass,verb
pwll,pool,noun
domestig,domestic,adjective
ffrwyth,fruit,noun
celwyddo,lie,verb
celwyddo,lie,presentParticipleAdjective
cydymdeimlo,sympathise,verb
nes,until,subordinatingConjunction
cynhyrchu,produce,verb
cystadleuwr,competitor,noun
diod,drink,noun
ailgysylltu,reconnect,verb
gwynlasu,turn deathly pale,verb
fy hun,myself,pronoun
fy hun,myself,reflexivePersonalPronoun
fflamio,flare,verb
cymoni,adapt,verb
llysywen,eel,noun
goruchwyliwr,supervisor,noun
llyncu,swallow,verb
Llanfair-ym-Muallt,Llanfair-ym-Muallt,properNoun
plws,plus,noun
Malta,Malta,properNoun
rhesymeg,logic,noun
cytgord,harmony,noun
prynu,buy,verb
dau-ddimensiwn,two-dimensional,adjective
cnawd,flesh,noun
dianc,escape,verb
nifer,number,noun
tramor,overseas,noun
brasáu,fatten,verb
Ethelbert,Ethelbert,properNoun
gwaradwyddo,shame,verb
mynegai,index,noun
allforedig,exported,adjective
masnachu,trade,verb
Abercynon,Abercynon,properNoun
cyflenwadau,supply,noun
arfordir,coast,noun
fferylliaeth,pharmacy,noun
prosesydd,processor,noun
diffrwytho,abrogate,verb
taenellu,sprinkle,verb
mwyndoddi,smelt,verb
iawn,very,adverb
cysyniad,concept,noun
erlid,pursue,verb
greddfu,become ingrained,verb
amaethyddol,agricultural,adjective
etholiad,election,noun
glythu,glut,verb
bregysu,ferment,verb
diwyno,soil,verb
darlledu,broadcast,verb
gweithdrefn,workplan,noun
anwybyddu,ignore,verb
garddwriaeth,horticulture,noun
cwrnad,nag,verb
ysgrif,writing,noun
enwebu,nominate,verb
siarad am,talk about,verb
pŵl,dim,adjective
cyfaint,volume,noun
afocado,avocado,noun
debydu,debit,verb
Peru,Peru,properNoun
twr,heap,noun
Lerpwl,Liverpool,properNoun
sylweddoli,realise,verb
deisyfu,beseech,verb
troelli,spin,verb
holiadur,questionnaire,noun
cyfrif,count,noun
tolchennu,clot,verb
ysgraffinio,scratch,verb
gwroli,hearten,verb
cyfreithio,litigate,verb
St Lucia,Saint Lucia,properNoun
mewnforiad,import,noun
tlawd,poor,adjective
dolen,loop,noun
strwythuro,structure,verb
ymgleddyfu,fence,verb
yna,there,adverb
ysigo,sprain,verb
cymhelliant,motivation,noun
pert,pretty,adjective
cynaliadwy,sustainable,adjective
gwenynen,bee,noun
blewyn,hair,noun
indemniad,indemnification,noun
Oslo,Oslo,properNoun
tri,three,numeral
Croasia,Croatia,properNoun
cost,cost,noun
Nelson,Nelson,properNoun
carlamu,gallop,verb
datroi,undo,verb
hercian,limp,verb
papuro,paper,verb
celfyddydol,artistic,adjective
cyfwng,interval,noun
Arkansas,Arkansas,properNoun
ffrydio,brandish,verb
brysgerdded,walk briskly,verb
tripio,trip,verb
pysgota,fish,verb
mater,matter,noun
gostyngedig,humble,adjective
helaethrwydd,abundance,noun
monyn nhw,not them,adverb
trymhau,grow heavy,verb
pwdu,sulk,verb
enwaedu,circumcise,verb
gwneud cais,make a request,verb
Kansas,Kansas,properNoun
cinio,dinner,noun
morio,sail,verb
hoenynnu,snare,verb
yr Antarctig,Antarctica,properNoun
ysbïwr,spy,noun
ar ôl y cwbl,after all,adverb
uwchdechnoleg,hi-tech,adjective
mwmialu,mutter,verb
Beirut,Beirut,properNoun
cneifio,shear,verb
cynrychioliadol,representational,adjective
clocio,clock,verb
urddasol,dignified,adjective
gwarchod dros,protect,verb
credu,believe,verb
ymochel,avoid,verb
symboliaeth,symbolism,noun
y Bahamas,The Bahamas,properNoun
cwch,boat,noun
amgaead,encapsulation,noun
Douce,Douce,properNoun
gweithgarwch,activity,noun
gloywi,brighten,verb
cenedlaetholdeb,nationalism,noun
Margarida,Margarida,properNoun
eglwys,church,noun
chwerthinllyd,laughable,adjective
cydweu,interlace,verb
cyd-dynnu,act in harmony,verb
fel ag y mae,like it is,adverb
ystwytho,flex,verb
rhyw,sex,noun
Bennett,Bennett,properNoun
hagr,ugly,adjective
cadarnhaol,affirmative,adjective
statws,status,noun
Robin,Robin,properNoun
mewnlyncu,imbibe,verb
talu,pay,verb
bloc,block,noun
trawsffurfiad,transformation,noun
brigbori,browse,verb
De Korea,South Korea,properNoun
sugno,suck,verb
Alastair,Alastair,properNoun
sicr,sure,adjective
cadwraeth,conservation,noun
brwyno,grieve,verb
Anna Maria,Anna Maria,properNoun
Cuthbertson,Cuthbertson,properNoun
rhyngwladol,international,adjective
posibl,possible,adjective
duo,blacken,verb
deintyddfa,dental surgery,noun
plismona,police,verb
rhwyfo,row,verb
yn gyfangwbl,entirely,adverb
rhedeg,run,verb
tŷ,house,noun
Davies,Davies,properNoun
gwrthdaro,collide,verb
toddi,melt,verb
cytio,pen,verb
ar ei hôl hi,running late,adverb
ysmwddio,iron,verb
danfon,dispatch,verb
ehangu,expand,verb
Penfro,Pembroke,properNoun
tro,turn,noun
Bartholomew,Bartholomew,properNoun
Gemma,Gemma,properNoun
peidio,stop,verb
tendr,tender,noun
eirio,snow,verb
clir,clear,adjective
Sence,Sence,properNoun
tryboli,wallow,verb
cardfwrdd,cardboard,noun
materoliaeth,materialism,noun
bwriadol,intentional,adjective
set,set,noun
popty,oven,noun
ffurfweddiad,configuration,noun
record,record,noun
dadyrddu,clamour,verb
addasydd,adapter,noun
dynolryw,mankind,noun
chwydu,vomit,verb
jargon,jargon,noun
cais,application,noun
annog,urge,verb
awgrymiad,suggestion,noun
Caitlyn,Caitlyn,properNoun
callineb,sanity,noun
llinell,line,noun
Evans,Evans,properNoun
El Salvador,El Salvador,properNoun
blaenolwg,front view,noun
papur,paper,noun
Kevin,Kevin,properNoun
ocsidio,oxidise,verb
arddangosol,demo,adjective
allanfa,exit,noun
Llethaw,Lithuania,properNoun
hecs,hex,adjective
ffugliwio,camouflage,verb
gwaelodol,underlying,adjective
gwelliant,amendment,noun
drama,drama,noun
pawennu,paw,verb
tabernaclu,dwell,verb
diau,certain,adjective
perchenogaeth,ownership,noun
neilltuoli,differentiate,verb
copa,summit,noun
cymodi,reconcile,verb
cyneddfu,judge competent,verb
rhagarweiniol,introductory,adjective
cymysg,mixed,adjective
Kath,Kath,properNoun
amlran,multipart,adjective
Letitia,Letitia,properNoun
Bryan,Bryan,properNoun
Salvador,Salvador,properNoun
diddwytho,deduce,verb
gwe,web,noun
ymdannu,spread,verb
trotio,trot,verb
