nude desnudo
virtuosity virtuosismo
approximately aproximadamente
mud fango
beetle escarabajo
meet conocer
walk paseo
weekly semanal
hirsch hirsch
downhearted desanimado
unemployed desocupado
delay retardo
lunch comer
diamond diamante
wafer oblea
regulation control
dejection deyección
hysterically histéricamente
belligerency beligerancia
galvanometer galvanómetro
simpson simpson
alto contralto
indignant indignado
tchaikovsky chaikovski
promotional promocional
surgery cirugía
deposit yacimiento
mahogany caoba
solution solución
pinch pizca
o'grady o'grady
captive cautivo
clinic clínica
nasalisation nasalización
bishop alfil
digitigrade digitígrado
psychologically psicológicamente
alcoholise alcoholizar
rescheduling reprogramación
keane keane
corruptly corrompidamente
escape escapada
what qué
platonism platonismo
otter nutria
unseat derribar
vandalism vandalismo
cassette casete
secularisation secularización
marjayoun marjayún
triclinic triclínico
photochemical fotoquímico
attestation atestación
striker rematador
carglass carglass
extraordinary extraordinario
mastery maestría
gaza gaza
premium prima
stolidness impasibilidad
sale venta
spiritual espiritual
molina molina
for durante
die dado
asterisk asterisco
hi hola
catastrophe catástrofe
transmission retransmisión
hang colgar
decimal decimal
purism purismo
barycenter baricentro
sidewalk banqueta
usual habitual
remanent remanente
aiestaran aiestaran
maltese maltés
long largo
strong fuerte
command orden
hornbeam carpe
quarternion cuaternión
orchestra orquesta
syrian sirio
radionuclide radionúclido
appropriately apropiadamente
isomer isómero
fable fábula
curriculum currículo
insulting insultando
mcguiness mcguiness
peasant villano
confine confinar
introductory introductorio
consume consumir
part papel
resident residente
heredity herencia
colomer colomer
feeder alimentador
shrapnel metralla
worthy digno
zebra cebra
psychopath psicópata
date datar
scolding regaño
domesticated domesticado
microminiaturisation microminiaturización
disable imposibilitar
kamiński kamiński
stem vástago
marta marta
teleworking teletrabajo
souto souto
subjection sujeción
globe-trotter trotamundos
saga saga
procedure procedimiento
scarification escarificación
accommodation alojamiento
trillion billón
tassel borla
calpe calpe
rind corteza
grille reja
close cercano
theocratic teocrático
dreyfus dreyfus
fork tenedor
basketball básquet
coefficient coeficiente
precipitate precipitar
partiality parcialidad
bilberry mirtilo
agrifood agroalimenticio
detail pormenorizar
mayonnaise mayonesa
armrest apoyabrazos
injure herir
planck planck
gps gps
hunter cazador
bush bush
guarantee aval
optimism optimismo
pipe pipa
tricky delicado
count contar
picasso picasso
unbelievably increíblemente
fit caber
republic república
van furgón
impartiality imparcialidad
irreversible irreversible
brook riachuelo
shallot chalota
patina pátina
caffeine cafeína
palaeographical paleográfico
pseudopodium pseudopodio
warble trinar
vigorous enérgico
quarter acuartelar
mat alfombrilla
alternation alternancia
drop soltar
mansfield mansfield
fun diversión
idealism idealismo
croat croata
all todo
glaciation glaciación
sonometer sonómetro
choose escoger
halt parar
endoscopy endoscopia
reconstruction reconstrucción
intracellular intracelular
socialist socialista
cardboard cartulina
fern helecho
dress aliñar
factorial factorial
camping camping
coriander cilantro
chancellery cancillería
moaña moaña
normandy normandía
phonology fonología
ear oreja
mole topillo
compilation recopilación
gdp pib
onomastic onomástico
asexual asexual
bang golpear
sub-directorate subdirección
many mucho
ignorantly crasamente
ensure asegurar
widen ensanchar
vomit vómito
admittedly ciertamente
forthwith enseguida
rival rival
removal traslado
predicate predicado
disguise disfraz
algorri algorri
kosatík kosatík
gautier gautier
crack resquebrajar
breviary breviario
dutchwoman holandés
jamaican jamaicano
suction succión
unimodular unimodular
non no
feel sentir
immunotherapy inmunoterapia
hydrostatic hidrostático
look viso
precaution precaución
tramcar tranvía
infantry infantería
ceviche ceviche
care preocuparse
cultured cultivado
pretty bastante
inedible incomestible
patch remendar
drama teatro
chemically químicamente
failure avería
scissors tijeras
accredit acreditar
vase jarrón
talanquera talanquera
blame culpar
campsite camping
embolism embolia
bowie bowie
quietly tranquilamente
qualification calificación
cause provocar
neatly pulcramente
scantily cortamente
some alguno
slat listón
conform conformar
anarchist anarquista
amenabar amenabar
prpers prpers
sliding corredero
aide asesor
muscular muscular
unsatisfactory insatisfactorio
muslim musulmán
flea pulga
matter materia
inexperienced novato
cubicle cubículo
arcane arcano
precious precioso
sampling muestreo
soiled sucio
agnostic agnóstico
archangel arcángel
sweat sudor
local local
good bien
brachistochrone braquistócrona
criminality criminalidad
neutralisation neutralización
liqueur licor
italian italiano
continent continente
employer patrón
potonik potonik
supreme supremo
agedly ancianamente
subtype subtipo
sad triste
contest concurso
really realmente
skate patinar
rook torre
historic histórico
contribute contribuir
inn fonda
deem considerar
escape huir
song canción
aggregated agregado
hydrofluoric fluorhídrico
turkey turquía
outright frontal
inertial inercial
tackle acometer
fraternal fraternal
teaching docencia
joaquim joaquim
connection conexión
incorruptibility incorruptibilidad
portion porción
mendaz mendaz
elite élite
replace reemplazar
acrid acre
democritus demócrito
cuba cuba
íker íker
plumbery fontanería
space espacio
gentleman gentilhombre
discriminate discriminar
boracite boracita
factorisation factorización
nagel nagel
alcaraz alcaraz
aggravatingly agravantemente
ash ceniza
radiotelegraphy radiotelegrafía
willing dispuesto
sexuality sexualidad
avoidance evitación
canvas tela
dairy lácteo
paralysis parálisis
yolk yema
bus autobús
dowry dote
then entonces
shadow sombra
llorenç llorenç
batch lote
grant subvención
few pocos
diadem diadema
samuel samuel
coda coda
elephant elefante
quixotism quijotismo
arietta arieta
cartridge cartucho
turkish turco
round ronda
overhead elevado
foxglove dedalera
thorough minucioso
gradolí gradolí
notification notificación
servicristal servicristal
abortive malogrado
recorder registrador
quicksilver azogue
potter potter
plummet plomada
comb peineta
lustrous lustroso
cypriot chipriota
johannesburg johannesburgo
refractor refractor
direct directo
surprising sorpresivo
pack empaquetar
vacuole vacuola
swimsuit bañador
toxicology toxicología
bouquet ramo
unashamedly desvergonzadamente
conoidal conoidale
heart meollo
breezily alegremente
rootstock rizoma
chávez chávez
fortress fortaleza
traffic tránsito
alabama alabama
wolf lobo
himself sí
insecurity inseguridad
nepal nepal
zenithal cenital
regression regresión
lodge alojar
technically técnicamente
deltoid deltoideo
bulletin boletín
imperialist imperialista
dissaccharide disacárido
pandemia pandemia
emphyteutic enfitéutico
gauss gauss
polarography polarografía
joseph joseph
indescribably indescriptiblemente
orphan huérfano
irrigation riego
galilei galilei
postnatal posparto
immoral inmoral
loveliness hermosura
disney disney
approach planteamiento
gelman gelman
phlebotomy flebotomía
epigraphy epigrafía
slovak eslovaco
plebeian plebeyo
threat amenaza
scrub matorral
dalí dalí
drink beber
catacomb catacumba
mess desorden
irregularly irregularmente
tax gravar
theoretical teórico
carpel carpelo
slang jerga
integrate integrar
sherbet sorbete
beggar mendigo
frenchwoman galo
evacuation evacuación
addict adicto
team plantilla
drinkable potable
dyslexia dislexia
scotland escocia
proselytism proselitismo
much mucho
evade eludir
plinio plinio
which qué
utrecht utrecht
remote remoto
abyssinia abisinia
paranoia paranoia
provided si
mastermind planear
indaux indaux
stew estofado
cogeneration cogeneración
autodidact autodidacta
prieto prieto
hammer picar
permanently permanentemente
hemp cáñamo
flammable inflamable
acuity acuidad
insoluble insoluble
deliberation deliberación
irrelevant irrelevante
ply chapa
reserve reservar
articulatory articulatorio
colonising colonizador
lend dejar
notebook libreta
dispute contencioso
cup copa
eroticism erotismo
handle mango
heterotrophic heterotrófico
sure seguro
guanine guanina
messi messi
asymptote asíntota
coming venidero
hiroshima hiroshima
assyrian asirio
empower facultar
bahrain bahrein
slogan eslogan
schizophrenia esquizofrenia
animal animal
fortissimo fortissimo
stylized estilizado
deputy diputado
bernoulli bernoulli
seer vidente
catholicism catolicismo
aeronautical aeronáutico
solely sólo
toughen encrudecer
distortion distorsión
dump volcar
game partida
development desarrollo
semi-anechoic semianecoico
bun panecillo
honourable honorable
intendant intendente
shakhtar shakhtar
noria noria
jupiter júpiter
wanderer trotamundos
harbour puerto
stiffen agarrotarse
witness testimonio
trek caminata
subduction subducción
spawn desovar
high alto
decade decenio
legume legumbre
gross bruto
austrian austríaco
measure medir
predication predicación
woodcutter leñador
hammer machacar
variance varianza
mami mami
renegotiate renegociar
seminar seminario
regenerate regenerar
comic tebeo
parity paridad
parasitism parasitismo
transmit transmitir
bronchopulmonary broncopulmonar
canvas lona
declare declarar
margin margen
sprinkler rociador
flourishing floreciente
denigration denigración
timer temporizador
triptych tríptico
chaotic caótico
introversion introversión
warm cálido
hemimembrane hemimembrana
extenuating atenuante
conviction condena
importance importancia
detriment detrimento
snort resoplar
billiard billar
monochrome monocromo
iconic icónico
chronological cronológico
countermeasure contramedida
confirmedly confirmadamente
herself prpers
trust confiar
ticket boleto
knightly caballeresco
sober sereno
hobble cojera
blocker bloqueador
alone solo
submodule submódulo
roam vagar
aesthetics estética
gentle suave
both ambos
flare bengala
dolphin delfín
plague plaga
fantasize fantasear
glaze acristalar
organist organista
mineralogy mineralogía
veneration veneración
freeze congelación
deceive engañar
refer referir
charm encanto
cafe cafetería
centrosome centrosoma
tile enladrillar
accept aceptar
horrifying horroroso
bermuda bermudas
cheekbone pómulo
privatise privatizar
net neto
nominal nominal
cation catión
interminable interminable
cricket criquet
coup golpe
molière molière
reformism reformismo
confront enfrentar
idea idea
use utilizar
half-naked semidesnudo
infirmary enfermería
tour visitar
suffocate abochornar
sligo sligo
axillary axilar
diet alimentación
gynecomastia ginecomastia
adviser consejero
rain lluvia
puff bocanada
band grupo
turnery tornería
curling rizado
airport aeropuerto
indoctrination adoctrinamiento
wealthy rico
futurism futurismo
link nexo
anaesthesia anestesia
block bloqueo
nice simpático
ceiling techo
singer cantante
metazoan metazoo
apropos pertinente
shameful vergonzoso
genius genio
chin mentón
british británico
car auto
provisional provisional
prograding progradando
their suyo
crap cagar
queen rey
poll sondeo
dd/mm/yyyy dd/mm/aaaa
decapitation decapitación
dragonfly libélula
dissident disidente
kiev kiev
opener abridor
consumption ingesta
that aquel
concrete concreto
preceptively preceptivamente
workable factible
slang argot
nettle ortiga
bruised magullar
úlehla úlehla
rimaye rimaya
earthy soez
didactic didáctico
foot pie
invifas invifas
postproduction postproducción
picaresque picaresco
acetylcholine acetilcolina
perpetuate perpetuar
gallon galón
pollen polen
driver motor
girl muchacho
brainless pánfilo
spade espada
outline boceto
feline felino
polygon polígono
hat sombrero
femur fémur
admirable admirable
allegretto allegretto
finite finito
place sitio
kick chut
excellent excelente
inventory inventariar
ingenuous ingenuo
dresser tocador
counterespionage contraespionaje
streetcar tranvía
mine mina
moderate moderar
applicant solicitante
electricity electricidad
pomp pompa
milk ordeñar
corporatism corporativismo
empress emperador
addressable direccionable
vetch algarroba
celestial celeste
reply respuesta
geosynonym geosinónimo
fecundity fecundidad
actinium actinio
dutiful obediente
decline declive
serology serología
gradual gradual
prize-winning premiar
view vista
irregularity irregularidad
staggered escalonado
amazon amazon
standardise estandarizar
moyá moyá
orson orson
syrup almíbar
counter-intelligence contrainteligencia
hoarfrost escarcha
pedreña pedreña
testicular testicular
respectively respectivamente
ethiopian etiópico
analyse analizar
bard bardo
confiscate incautar
galvani galvani
award adjudicar
update actualizar
inciarte inciarte
gametocyte gametocito
liquid líquido
emanation emanación
neural neuronal
recruit recluta
autistic autista
starvation inanición
planimetry planimetría
truman truman
conde conde
pants pantalón
strontium estroncio
shrewdness sagacidad
comedy comedia
collapsible plegable
ken conocimiento
this este
adipocyte adipocito
irrefutable fehaciente
cover carátula
mantle manto
chieftain cacique
great sumo
earn ganar
egoistic egoísta
blessed bendito
walsh walsh
maltreatment maltrato
bed cama
fish pescado
kenyan keniano
glove guante
aureole aureola
logarithmic logarítmico
chip trozo
comprise comprender
aforementioned antedicho
still todavía
belligerent beligerante
testament testamento
joule joule
zionism sionismo
militant militante
fifth quinto
ticket tiquete
myriad miríada
doublet doblete
interference interferencia
masking enmascaramiento
sewerage alcantarillado
curling curling
invalid nulo
architrave arquitrabe
reference referencia
sophocles sófocles
volatile volátil
vector vector
integration integración
clearly conocidamente
superstition superstición
address dirigir
zarautz zarautz
aguado aguado
nib plumín
lead ventaja
opium opio
sieve tamiz
era era
mutsch mutsch
blackout apagón
margalida margalida
instinct instinto
nettle irritar
steppe estepa
manchester mánchester
rossclogher rossclogher
squash calabaza
ciefe ciefe
predict pronosticar
correct correcto
bequeath legar
ikurrina ikurrina
forte forte
guanajuato guanajuato
pail cubo
granite granito
coloma coloma
deficient deficiente
effective eficaz
barcarole barcarola
manouba manouba
subcostal subcostal
sortie incursión
instance instancia
dialectic dialéctico
villoro villoro
loving amoroso
archaeologic arqueológico
jalón jalón
chemistry química
courageous brioso
species especie
conceit presunción
lumber madera
calm calma
cable cable
misunderstanding malentendido
eagerness afán
instantly instantáneamente
your vuestro
increase acrecentarse
thermodynamic termodinámico
hybridoma hibridoma
relevance pertinencia
whip chicote
systematic sistemático
anagram anagrama
oh oh
sophisticated sofisticado
burundi burundi
mold moho
garmendia garmendia
tractor tractor
refundable reembolsable
freely libremente
horizontally horizontalmente
abstentionism abstencionismo
pulp pulpa
ball bola
foul ensuciar
analysis análisis
perilymph perilinfa
usability usabilidad
criticism crítica
this este
goth godo
integer entero
apache apache
take tomar
spider araña
scottish escocés
anarchic anárquico
knickers braga
deaf sordo
timoshenko timoshenko
rampart muralla
fugitive fugitivo
thump batacazo
service servicio
lame cojo
fertile fértil
belated tardío
basic básico
successfully exitosamente
forward adelante
toponymic toponímico
cowardice cobardía
orle orla
blind ciego
length eslora
splenomegaly esplenomegalia
squad escuadra
rotation rotación
podzolic podsólico
chiasmus quiasmo
parasite parásito
vertebra vértebra
lottery lotería
in en
rotational rotacional
marbled jaspeado
governess institutriz
remuneration remuneración
yorkshire yorkshire
palaeoecology paleoecología
disengagable separable
oliver oliver
cantabria cantabria
correlatively correlativamente
intelligible entendible
ancillary subsidiario
immutable inmutable
fine multa
entirely íntegramente
narrowness estrechez
airlift aerotransportar
celebrity celebridad
protect proteger
kyprianou kyprianou
christian cristiano
uninstallation desinstalación
hussar húsar
swimmer nadador
reproductive reproductivo
hybrid híbrido
protohistory protohistoria
potpourri popurrí
robinson robinson
contempt desprecio
orgeat horchata
measurable medible
rule normativa
alonso alonso
mercenary mercenario
vodka vodka
activator activador
leeward sotavento
hieroglyphic jeroglífico
stab cuchillada
ngo ong
besson besson
here ahí
zither cítara
economically económicamente
mallow malva
account narración
carthage cartago
fellowship camaradería
protozoon protozoo
their suyo
consign consignar
account relación
card carta
directional direccional
afghanistan afganistán
light ligero
most más
biscuit galleta
extreme extremo
bitterness amargura
antepenultimate antepenúltimo
pupillary pupilar
radiophysics radiofísico
phreatic freático
szymański szymański
type escribir
wrapping envoltorio
notably notablemente
revolvo revolvo
grace grace
rest reposo
emmental emmental
kilometre kilómetro
sadism sadismo
podcast podcast
organisational organizativo
swap intercambio
derail descarrilar
knowledgeable enterado
chemist farmacéutico
thrill emocionar
back atrás
care cuidado
mesocarp mesocarpio
elaborate elaborar
endogenous endógeno
proscription proscripción
suspension suspensión
entertainment diversión
scholarship beca
mode medio
conditioning condicionante
moderation moderación
wire alambre
crease arrugar
esperanto esperanto
odyssey odisea
breath aliento
profile perfil
strict estricto
aforementioned susodicho
schedule horario
aleixandre aleixandre
shaw shaw
length largura
rapist violador
disk disco
your vuestro
lighter mechero
loyal leal
cold-short agrio
hundredth centésimo
vicarage vicaría
heliocentric heliocéntrico
combat combatir
ease facilidad
think opinar
canarian canario
layout trazado
galician gallego
mountaineer alpinista
gong gong
volunteer voluntario
grand magnífico
telephonic telefónico
tender oferta
spring saltar
either ninguno
discord discordia
eunuch eunuco
impertinence impertinencia
forcada forcada
flow fluir
disentangle desenmarañar
anyone alguien
robustness robustez
time horario
shortage escasez
isotropy isotropía
inch pulgada
beat latido
marginally marginalmente
sperm esperma
off-line offline
silicious silicio
frog rana
montevideo montevideo
subdialect subdialecto
isomery isomería
basagoiti basagoiti
prank broma
piebalgs piebalgs
inhalation inhalación
boo abuchear
prehistory prehistoria
estévez estévez
jeweller joyero
arbitrate arbitrar
building nave
wednesday miércoles
river río
falsity falsedad
embalm embalsamar
leadership dirigencia
saver ahorrativo
brossa brossa
albiñana albiñana
tradition tradición
unripe verde
paddy arrozal
pediatrics pediatría
complete completo
demisemiquaver fusa
notion noción
baby bebé
terrorist terrorista
mobile móvil
introduction introducción
scapula escápula
aragonesism aragonesismo
mathematics matemática
fighter luchador
autistic autista
gathering reunión
dissection disección
condensation condensación
bowel intestino
harness arnés
pioneer iniciar
glassmaker cristalero
tramp vagabundo
work obrar
unlikely improbable
amethyst amatista
positioning posicionamiento
administrative administrativo
paroemiology paremiología
off de
ethologist etólogo
house albergar
converted convertido
misfortune miseria
honeycomb panal
cold frío
rage cólera
inimitable inimitable
ornament ornamento
cajasur cajasur
welsh galés
diary agenda
magnetochemistry magnetoquímica
gardening jardinería
jam mermelada
illicit ilícito
mitigate mitigar
holy santo
pension pensión
cavatina cavatina
ak-47 ak-47
telegram telegrama
occlusion oclusión
incidence incidencia
regional regional
jacobite jacobita
arbitrarily arbitrariamente
reactant reactante
decoder decodificador
contortionist contorsionista
recyclable reciclable
exemplary ejemplar
insurance asegurador
oracle oracle
balsam bálsamo
viroid viroide
arthralgia artralgia
clothing indumentaria
rhomboid romboide
objective objetivo
tenerifean tinerfeño
fluorescein fluoresceína
thermoregulator termorregulador
collection cobro
pleistocene pleistoceno
differentiable diferenciable
dynasty dinastía
charisma carisma
clarke clarke
terrified aterrorizado
goat chivo
radula rádula
leather cuero
pill píldora
corner rabillo
sign firmar
siderite siderita
clone clonar
hero héroe
disappointment desengaño
scoria escoria
incorporate incorporar
rock roca
critic crítico
trisomy trisomía
metaphorical metafórico
velvet terciopelo
cassation casación
adrià adrià
vengeful vengativo
photometric fotométrico
polyphase polifásico
parenchymatous parenquimatoso
cook cocinero
milligramme miligramo
liébana liébana
hematoma hematoma
uselessness inutilidad
wenger wenger
arūnas arūnas
beehive colmena
fringe flequillo
valderrama valderrama
proceed proceder
train entrenar
guinea guinea
pneumococcus neumococo
interdiction interdicción
imaginary imaginario
whelan whelan
insular insular
lobe lóbulo
where donde
tactfully discretamente
possible posible
linden tilo
vaporise vaporizar
fruitless infructuoso
medellín medellín
disturbance alboroto
refrangibility refrangibilidad
expose exponer
give impartir
vitoria vitoria
floor piso
portugalete portugalete
dutch neerlandés
andú andú
berne berna
mortify mortificar
dehydrate deshidratar
matrix matriz
screenwriter guionista
fraternity fraternidad
decathlon decatlón
crop cultivo
porn porno
sinew tendón
rate valorar
vine parra
agree acordar
chest cofre
rider jinete
extend extender
compression compresión
fire incendio
descriptor descriptor
annals anales
lacustrine lacustre
exploration exploración
mills mills
isohel isohelia
internationalisation internacionalización
feminine femenino
uniquely singularmente
prodigious prodigioso
acrobatics acrobacia
lintel dintel
embrace abrazar
tremendously bárbaramente
ethanol etanol
hurl abalanzar
metamorphism metamorfismo
overwhelm apabullar
afterwards luego
congregation congregación
performance interpretación
areflexia arreflexia
valency valencia
intermediate intermedio
bedroom dormitorio
prayer oración
splint férula
advisory aconsejable
electrocution electrocución
kpa kpa
disrupt interrumpir
parenchyma parénquima
delicacy delicadeza
modal modal
drown inundar
urgently apremiadamente
mcgregor mcgregor
pitch campo
route recorrido
defoliation defoliación
authority potestad
promise prometer
thermoplastic termoplástico
projection proyección
hedonistic hedonista
participle participio
revenge venganza
scatter desperdigar
consecutively consecutivamente
agroecology agroecología
hopelessly totalmente
noisy ruidoso
peace sosiego
bioluminescence bioluminiscencia
parenthesis paréntesis
málaga málaga
order orden
dinar dinar
stampede estampida
durability durabilidad
cellophane celofán
becerril becerril
oil petrolífero
castilianisation castellanización
detain detener
bribe sobornar
telephone telefonear
cruz-díez cruz-díez
zabaleta zabaleta
building edificio
withdrawal retirada
lignin lignina
disassemble desmontar
unimportance insignificancia
afar lejos
miniseries miniserie
five cinco
homeostasis homeostasis
blogosphere blogosfera
cycloid cicloide
diagonal diagonal
finnish finlandés
case argumento
pipe encauzar
windsurfing windsurf
whither adónde
nadir nadir
follower seguidor
squad equipo
guideline pauta
mixture mezcla
protuberance protuberancia
decasyllable decasílabo
monody monodia
tomelloso tomelloso
cardamom cardamomo
categorically categóricamente
skill habilidad
landing rellano
dehydration deshidratación
suit traje
quarter trimestre
squeeze achuchar
zoo zoo
vassal vasallo
observatory observatorio
lobulet lobulillo
natural natural
juice jugo
feeling sentimiento
unintelligible ininteligible
existential existencial
acrylic acrílico
stalagmite estalagmita
cart carro
latifundium latifundio
lately últimamente
goggles anteojos
abstruse abstruso
only sólo
theism teísmo
plumed plumado
restructuring reestructuración
scar cicatriz
affectation afectación
metropolis metrópoli
villalaín villalaín
software software
pregnant embarazado
servomechanism servomecanismo
spoiled consentido
jacobinism jacobinismo
lodge logia
security seguridad
support solidarizarse
bureau agencia
suck mamar
bigamy bigamia
coordinate coordenada
vuvuzela vuvuzela
mendiguren mendiguren
tungsten tungsteno
latex látex
remaining restante
artless inocente
coprime coprimo
neoprene neopreno
hack gacetillero
married casado
ignite incendiar
metacarpial metacarpiano
crucifix crucifijo
gaussian gaussiano
swan cisne
anti-doping antidoping
enough bastante
warble trino
advantageous ventajoso
governmental gubernamental
fission fisión
binding encuadernación
donegal donegal
spermatogonium espermatogonia
intrepid intrépido
ambition ambición
logotype logotipo
reflection reflejo
retard atrasar
nail clavar
unconformity discordancia
prpers ti
subsidiary subsidiario
spell ola
selectable seleccionable
automaton autómata
premise premisa
pilferer ratero
phyllis phyllis
nanomaterial nanomaterial
anticyclone anticiclón
photocopy fotocopia
mantissa mantisa
closet guardarropa
sniper francotirador
pyjamas pijama
epistemological epistemológico
intellectual intelectual
propose proponer
adequate adecuado
inadequate inadecuado
fortunate afortunado
trading comercial
impress impresionar
fourteen catorce
pledging promesa
apartheid apartheid
irradiation irradiación
demonstrator manifestante
hope aguardar
carbonatation carbonatación
georeference georreferenciar
unquestionable incuestionable
convenience comodidad
discharge liberar
marquess marqués
depressant depresor
ritual ritual
mullan mullan
unfeasible inviable
obsidian obsidiana
trigger desencadenante
diverse diverso
allegiance lealtad
luminance luminancia
runner corredor
bride novio
impairment empeoramiento
kilowatt kilovatio
gig actuación
reeducation reeducación
autochthonous autóctono
elena elena
praise alabar
urine orina
cloning clonación
nesting imbricación
welding soldadura
fragrant fragante
shake sacudida
divorce divorciar
obsessive obsesivo
pointer puntero
loin lomo
fraudulent fraudulento
operate operar
exoskeleton exoesqueleto
extension extensión
arabia arabia
archipelago archipiélago
tostartean tostartean
attack atentado
bunch puñado
apotheosis apoteosis
rugged accidentado
rug manta
prejudge prejuzgar
deceitfulness falsedad
licence autorizar
cassiterite casiterita
bird ave
fixer fijador
zero cero
peal repique
obstruct obstruir
birch abedul
this este
mammalogy teriología
populational poblacional
usury usura
nape nuca
grandchild nieto
grain grano
multiverse multiverso
fat gordo
hatching eclosión
foliage follaje
tribe tribu
myocardium miocardio
obstacle impedimento
geranium geranio
schooner goleta
retort réplica
rehearsal ensayo
slime baba
gore gore
mutilation mutilación
epicurus epicuro
circulate circular
knot nudo
turkish turco
impressive impresionante
king rey
derailment descarrilamiento
acetate acetato
irreducible irreductible
little poco
hail saludar
shower aguacero
joker bromista
longing anhelo
eighth octavo
bless bendecir
monotheism monoteísmo
cystoscopy cistoscopia
runway pasarela
albanian albanés
spectroscopy espectroscopia
alternative alternativo
simile símil
euphoric eufórico
mood modo
blastoderm blastoderma
computing informática
earthly terrenal
greeting saludo
slam portazo
haze calima
stalactite estalactita
distributor distribuidor
other otro
flap solapa
congresswoman congresista
vice-chancellor vicerrector
bakery panadería
chrysolite crisolita
transceiver transceptor
dancing danza
nephew sobrino
rwanda ruanda
train amaestrar
sisal sisal
thunderbolt rayo
aluminothermal aluminotérmico
taiwanese taiwanés
thrombus trombo
sublime sublime
imputable imputable
incidental incidental
granting concesión
kurdistan kurdistán
praise alabanza
omissible omisible
campus campus
vengeance venganza
briefly abreviadamente
goose ganso
worm lombriz
jordanian jordano
effort esfuerzo
fir abeto
proudly orgullosamente
martingale martingala
shape forma
transformative transformador
identify identificar
string cuerda
mention mentar
tram tranvía
eduard eduard
settledly afincadamente
goodbye adiós
disturb perturbar
diarrhoea diarrea
verification verificación
angst angustia
cooker cocina
excrecence excrecencia
tautosyllabic tautosilábico
abyss abismo
divulging divulgación
question interrogación
belt correa
simplicity simplicidad
lease arrendamiento
catering catering
ínsula ínsula
cap capuchón
consistent compatible
evangelist evangelista
rage rabia
fantastic fantástico
backside trasero
thin delgado
drama obra
spectator espectador
village pueblo
quintessence quintaesencia
camomile manzanilla
airship dirigible
garcia garcia
papilloma papiloma
babylonian babilonio
rhythmic rítmico
eyelash pestaña
jab pinchar
carrion carroña
search cacheo
economisedly ahorradamente
antagonist antagonista
athlete atleta
where donde
spend perder
mildew mildiu
consist consistir
safflower alazor
casually casualmente
valuable valioso
rosebay adelfa
stole estola
annihilation aniquilación
congruent congruente
wrist muñeca
opponent oponente
great-grandfather bisabuelo
nook recoveco
scramble mezclar
manic maniaco
identity identidad
check jaque
freeze congelar
infinitely infinitamente
solicitor abogado
eightieth octogésimo
inspire inspirar
reproduce reproducir
regicide regicidio
baboon mandril
complex complejo
homomorphism homomorfismo
shiver escalofrío
encrypt encriptar
conformal conforme
korean coreano
tavern taberna
redhead pelirrojo
hyssop hisopo
only únicamente
gladiator gladiador
disjunction disyunción
fibre fibra
molarity molaridad
blundering torpe
extendedly alargadamente
dossier dossier
discharge descargar
anxiety ansiedad
lace encaje
pizzicato pizzicato
runny moqueo
optional opcional
sucker ventosa
therapist terapeuta
acyclic acíclico
wiring cableado
generation generación
abidjan abiyán
underwater submarino
creaminess cremosidad
lineage linaje
increase aumentar
aromatherapy aromaterapia
oceanography oceanografía
roughly cerrilmente
solid sólido
taiwan taiwán
loan prestar
bovine bovino
gramme gramo
mining minero
that aquel
pleasant agradable
bead cuenta
joyous dichoso
switch cambio
division reparto
avarice avaricia
digitalisation digitalización
objection reparo
dynast dinasta
phalanx falange
administer administrar
russel russel
tech tecnología
usable utilizable
departure salida
prologue prólogo
acquaint familiarizar
make-up maquillaje
where dónde
effluent efluente
sister hermano
equatorial ecuatorial
band franja
review revisión
last último
prioritise priorizar
saint santo
pseudoscience pseudociencia
susceptibility susceptibilidad
brilliant brillante
appoint nombrar
thrombin trombina
complicate complicar
antitank antitanque
rhubarb ruibarbo
daughter hijo
reach lograr
dubbing doblaje
shrew musaraña
milky lechoso
timbuktu tombuctú
ahmadinejad ahmadineyad
indivisibility indivisibilidad
balloon balón
burrow madriguera
european europeo
embarrassment bochorno
nintendo nintendo
perfectionism perfeccionismo
banker banquero
orbiter orbitador
cider sidra
your vuestro
subordination subordinación
metrorrhagia metrorragia
solitary solitario
synthesizer sintetizador
thermoelectric termoeléctrico
disproportionately desproporcionadamente
ferromagnetic ferromagnético
wrath ira
warn advertir
but pero
coating recubrimiento
nesbitt nesbitt
routine rutinario
grammage gramaje
signal seña
proof constancia
neglect descuidar
abellán abellán
northern septentrional
funky funky
belgian belga
begin empezar
capsule cápsula
equidirectional equidireccional
carreter carreter
chemical químico
fawn cervato
striking llamativo
choropletic coropletico
construction construcción
rer rer
anoxia anoxia
particle partícula
means medio
interpretative interpretativo
hypocoristic hipocorístico
dissatisfaction insatisfacción
armament armamento
area área
translator traductor
yoke yugo
gammaglobulin gammaglobulina
account cuenta
belief creencia
agility agilidad
anyone cualquiera
crab cangrejo
euskotren euskotren
plumber fontanero
position puesto
pejorative peyorativo
dragon dragón
divan diván
anathema anatema
reproduction reproducción
abbreviation abreviatura
seven siete
locomotion locomoción
rationalism racionalismo
dissident disidente
stagnate estancar
carballo carballo
contreras contreras
iron planchar
slap abofetear
stir barajar
pasteurisation pasteurización
know conocer
defect defecto
revolving rotativo
constant constante
guess adivinar
postal postal
youtube youtube
plural plural
argument discusión
thrilling emocionante
flow flujo
tomography tomografía
spokesman vocero
favourable favorable
impatience impaciencia
inaugural inaugural
separate separar
handbook manual
bracelet brazalete
relative relativo
delay dilación
