poeta poète
velero voilier
zaragozá zaragozá
mauritania mauritanie
doce douze
aminorar diminuer
simulación simulation
disponibilidad disponibilité
ingrid ingrid
mazovia mazovie
llamazares llamazares
micenas mycènes
anhelar souhaiter
tiburón requin
cei cei
recreo récréation
finca propriété
intermediación intermédiation
aflojar relâcher
sbf sbf
transcaucasia transcaucasie
cascote gravat
incapaz incapable
pericles périclès
encriptar crypter
joan joan
autodisolución autodissolution
ademar ademar
confianza confiance
galileo galilée
ignacio ignacio
surrealismo surréalisme
mark mark
innovar innover
duelo duel
poligamia polygamie
abe abe
naypyidaw naypyidaw
sito situé
asimilar assimiler
pago paiement
lealtad loyauté
exageración exagération
magdalena magdalena
dior dior
subjetividad subjectivité
fraile moine
maduro mûr
irracionalidad irrationalité
australia australie
callejón impasse
medicina médecine
san san
violación violation
póster poster
reglamentar réglementer
akab akab
nuakchott nouakchott
serco serco
trampolín tremplin
amortizar amortir
benigno benigno
generatriz générateur
proust proust
alsace alsace
altay altaj
mingo mingo
aquerreta aquerreta
guerrilla guérilla
hembra femelle
afluencia affluence
seducir séduire
culpa tort
aplastar écraser
ironman ironman
teoría théorie
irradiación irradiation
acusado accusé
geológico géologique
virtualidad virtualité
mal mal
alisios alizés
oculto occulte
denigrar dénigrer
beloki beloki
chico fille
sábana drap
jubilar retraiter
grúa grue
echevarria echevarria
gerard gerard
madrigal madrigal
suceso événement
atributo attribut
becario boursier
normativa réglementation
deportividad sportivité
torrevieja torrevieja
masa masse
alcalá alcalá
inmortal immortel
igor igor
jones jones
gironda gironde
especulativo spéculatif
josué josué
agarrotado grippé
aproximar approcher
gratuito gratuit
afición penchant
afincar établir
detector détecteur
fortea fortea
antidisturbios anti-émeute
chino chinois
calderón calderón
conveniencia pertinence
corisco corisco
articulación articulation
bédier bédier
conductor conducteur
francocanadiense franco-canadien
sesenta soixante
contable comptable
adeslas adeslas
mirco mirco
identidad identité
braganza bragance
nazaret nazareth
pirómano pyromane
alhama alhama
harlin harlin
parador parador
crillon crillon
almacén magasin
zihurko zihurko
objetivo but
manel manel
walter walter
uva raisin
altercado altercation
hirsi hirsi
búfala bufflonne
exacerbación exacerbation
mejora amélioration
sociólogo sociologue
panel panneau
revolución révolution
pabellón pavillon
alcobendas alcobendas
salvedad exception
russel russel
temblor tremblement
tira bande
anorthosis anorthosis
pentágono pentagone
alfonso alfonso
licor liqueur
caducar expirer
desmontar démonter
alexandro alexandro
sanmartín sanmartín
interceptar intercepter
fabra fabra
meter mettre
presupuestario budgétaire
tav tgv
augustine augustine
punción ponction
algarra algarra
revolvo revolvo
aracena aracena
mío mon
lingüístico linguistique
astro astre
explotar exploiter
totalidad totalité
desconcertar décontenancer
bancaixa bancaja
cabalgar chevaucher
naplusa nablous
cobertura couverture
envidia envie
convivialidad convivialité
izortz izortz
moscú moscou
condenado condamné
conformar conformer
medioambiental environnemental
aceite huile
aducen aducen
anh anh
peruano péruvien
que que
paula paula
rapto enlèvement
herramienta outil
vestigio vestige
convertir convertir
gracia grâce
arpista harpiste
montilla montilla
telerealidad téléréalité
urbanístico urbanistique
crema crème
iberia ibérie
porno porno
periodista journaliste
ingenuo dupe
cantinero cantinier
conductor conducteur
trazabilidad traçabilité
balza balza
simplificar simplifier
sentir entendre
mitterrand mitterrand
aparentemente apparemment
delatte delatte
acciari acciari
atractivo attractif
eyaculación éjaculation
equidad équité
ajuste ajustage
adr adr
awa awa
basilio basilio
complemento complément
parcela parcelle
subdirector sous-directeur
agustinas agustines
neutralizar neutraliser
descubrir dépister
preservación préservation
assiduidad assiduité
molestar déranger
drucker drucker
artetxe artetxe
ariel ariel
adhamiya adhamiya
tacto tact
gobierno gouvernement
bayona bayonne
nizhni-novgorod nijni-novgorod
enamorado amoureux
düsseldorf düsseldorf
aerostático aérostatique
encender allumer
insatisfacción insatisfaction
garikoitz garikoitz
torreblanca torreblanca
acólito acolyte
nostalgia nostalgie
terol terol
hundir affaisser
merkezi merkezi
procesar inculper
ken ken
imposible impossible
lomé lomé
tanque tank
previsible prévisible
en en
marilyn marilyn
incisivo incisif
antisecesión anti-sécession
deducibilidad déductibilité
madonna madonna
pesado lourd
contingente contingent
urdiales urdiales
constituir constituer
altímetro altimètre
suarez suarez
youssef youssef
utilización utilisation
argitxu argitxu
considerar considérer
epidemia épidémie
consciente conscient
bachillerato baccalauréat
frustrar frustrer
monique monique
gestionar gérer
extenso étendu
pelota ballon
urbano urbain
gálvez gálvez
célebes célèbes
experimentación expérimentation
serrano serrano
estrave étrave
disidente dissident
grosería grossièreté
pasturaje pâturage
tenacidad ténacité
plano plan
wimbledon wimbledon
búcaro pichet
contraer contracter
leucemia leucémie
asiento siège
mac mac
pisani pisani
maullar miauler
akranes akranes
acondicionamiento conditionnement
longitud long
financiación financement
rice rice
assiut assiout
berasaluze berasaluze
forn forn
agil agil
maza maza
desenlace dénouement
subterráneo souterrain
barrika barrika
observador observateur
igual égal
media médie
torrado torrado
querella complainte
papeleta billet
calabria calabre
interacción interaction
cinta cassette
pan pain
valoración estimation
necesariamente nécessairement
acería aciérie
hexadecimal hexadécimal
condena condamnation
selectividad baccalauréat
deterioro dégât
viabilización viabilisation
rojo rojo
talabani talabani
aeronomía aéronomie
temporizador minuterie
espina épine
luego après
cibeles cybèle
encuentro rencontre
languedoc-roussillon languedoc-roussillon
adán adán
collado collado
marketing mercatique
redactar libeller
cerrado fermé
piratería piraterie
oporto porto
cze cze
chaval gaillard
imaz imaz
surcoreano sud-coréen
chantal chantal
eitb24com eitb24com
donación donation
imaginario imaginaire
alcain alcain
hewlett-packard hewlett-packard
ingreso dépôt
fricción friction
lahoz lahoz
potter potter
daddy daddy
piedra caillou
capital capital
solamente seulement
sellés sellés
demostración démonstration
ejemplaridad exemplarité
consejería cabinet
relevo relais
tutela tutelle
burlada burlada
traición trahison
eurobolsa eurobourse
programable programmable
alon alon
castellano castillan
colonia cologne
garcés garcés
finalizar terminer
mazo maillet
andresen andresen
tuyo ton
amazonas amazone
arcentales arcentales
archiprotegido archiprotégé
allison allison
vulerabilidad vulnérabilité
acosta acosta
javame javame
revista magazine
tumulto tumulte
fuelle soufflet
al-arabiya al-arabiya
mareo vertige
vicepresidente vice-président
gustavo gustavo
internauta internaute
anestesia anesthésie
zenarrutzabeitia zenarrutzabeitia
estatutariamente statutairement
corregir corriger
dirigente cadre
decaer décliner
estambul istanbul
cerrojo verrou
electo élu
millersville millersville
alteza altesse
régimen régime
telepeaje télépéage
massimo massimo
tsahal tsahal
único unique
puntuado évalué
amoyal amoyal
gordiano gordien
invisible invisible
noruega norvège
fvr fvr
bahrein bahreïn
véronique véronique
nacionalización nationalisation
desventura mésaventure
annapurna annapurna
mancomunidad communauté
levantar relever
cuba cuba
comunicador communicateur
hemorragia hémorragie
mandato mandat
acumular amasser
fletar fréter
aquel ce
arraigar enraciner
materno maternel
paramount paramount
baranowski baranowski
piamonte piémont
pristina pristina
auxiliar auxiliaire
algodonero cotonnier
celeste céleste
eurofund eurofund
anciano âgé
ombligo nombril
adelante avant
exculpar innocenter
morio morio
maría maría
samertolameu samertolameu
microondas micro-ondes
registrar enregistrer
aguilas aguilas
anormal anormal
racional raisonnable
socio socio
zuasti zuasti
pleyel pleyel
mudar muer
alojar loger
amigo ami
hp hp
lekeitio lekeitio
homicida meurtrier
subdelegación subdélégation
aguado aguado
particularmente particulièrement
mafia mafia
devorar dévorer
ferenc ferenc
bramati bramati
multicine multicinéma
boga nage
paraguay paraguay
arbó arbó
anarquista anarchiste
retención rétention
trichet trichet
galicia galice
combinar combiner
escocés écossais
acérrimo acharné
lozoya lozoya
día jour
instar appeler
analgésico analgésique
apo apo
boss boss
sme sme
plurianual pluriannuel
avance progrès
magia magie
ortodoxo ortodoxe
subvariante sous-variante
constructivo constructif
antibelicista antibelliciste
emanuele emanuele
descentralización décentralisation
pedaleo pédalage
luzón luçon
adelaida adelaida
olaverri olaverri
reciprocidad réciprocité
acetti acetti
saciedad satiété
vivero pépinière
suyo leur
pinochet pinochet
secreto secret
ministerial ministériel
muluya moulouya
política politique
orquesta orchestre
enseguida aussitôt
cálculo calcul
alro alro
cassandra cassandra
dañobeitia dañobeitia
eficacia efficacité
póstumo posthume
actualidad actualité
sunnita sunnite
susaeta susaeta
eugenia eugenia
alpinista alpiniste
huracán ouragan
vela bougie
teresa teresa
emocional émotionnel
nos nous
maternal maternel
perpiñán perpignan
vacunado vacciné
olga olga
meteosat meteosat
willis willis
antisemitismo antisémitisme
cécile cécile
montañana montañana
cartago carthage
excepción exception
osadía hardiesse
robar voler
ix ix
sensualidad sensualité
sátira satire
carratalá carratalá
lana laine
antifascista antifasciste
perito expert
adarraga adarraga
calzar chausser
cremación crémation
fado fado
encuadre cadrage
angel angel
caifás caïphe
funerario funéraire
expositivo explicatif
horizonte horizon
pasar passer
infierno enfer
turquía turquie
abalanzar élancer
sino mais
epígrafe épigraphe
invitar inviter
yibuti djibouti
acción action
dejar laisser
mallote mallote
aflicción affliction
alegrar égayer
adil adil
oscurecer obscurcir
abtwil abtwil
windows windows
iñaki iñaki
golpear frapper
miriam miriam
tormenta tourmente
insistir insister
caprichoso fantasque
iv iv
té thé
letrado avocat
colaboración collaboration
broker broker
lujanbio lujanbio
mendoza mendoza
disensión dissension
derroche gaspillage
inactividad inactivité
exclamación exclamation
relativo relatif
coger rejoindre
jabier jabier
euro euro
aparcavisa aparcavisa
sajonia saxe
vómito vomissement
atenuar atténuer
abertzale abertzale
aguilares aguilares
aduna aduna
zaragoza saragosse
salivar saliver
burundi burundi
elección élection
exponer exposer
paquete paquet
desalojar évacuer
preparativo préparatif
palomo pigeon
ezeizabarrena ezeizabarrena
andrómeda andromède
cocer cuire
asediar assiéger
mil mil
agustina agustina
joserra joserra
marsella marseille
champán champagne
saint-denis saint-denis
cuatro quatre
pinar pinède
miller miller
renunciar renoncer
postigo postigo
herriko herriko
pincel pinceau
sumergir pencher
propietario propriétaire
mezclar mélanger
truco truc
ahorrar épargner
sanción sanction
huffel huffel
qué quel
legalidad légalité
iva tva
espaldarazo appui
pantalón pantalon
olmos olmos
reloj horloge
hábito habit
acha acha
bennett bennett
dhl dhl
gozar jouir
mathilde mathilde
subgobernador sous-gouverneur
mâcon mâcon
menospreciar mépriser
persona personne
footsie footsie
augustinus augustinus
llobregat llobregat
baza atout
planteamiento exposé
incriminación incrimination
infructuoso infructueux
al-aqsa al-aqsa
reclamar réclamer
amable aimable
traumatismo traumatisme
kutxaespacio kutxaespacio
alias alias
os vous
interesar intéresser
miramón miramón
bósforo bosphore
advertencia avertissement
inercia inertie
bandeira bandeira
sae sae
preocupación souci
indicador indicateur
delante devant
devaluación dévaluation
mapa carte
exhalar exhaler
loli loli
ese ce
depósito dépôt
tratar tâcher
anneli anneli
también aussi
paraná parana
diablura diablerie
tipología typologie
espejo miroir
aguirresarobe aguirresarobe
eficaz efficace
ricard ricard
rrpp rp
eusko basque
mantener entretenir
derogación dérogation
bután bhoutan
nostra nostra
repositorio entrepôt
dkv dkv
perpetuo perpétuel
importe montant
lejos loin
traducción traduction
sporting sporting
integrar intégrer
generoso généreux
adecuación adéquation
fluctuación fluctuation
cotilleo commérage
anorexia anorexie
aspiazu aspiazu
dauphiné dauphiné
isla île
barroco baroque
prom prom
clima climat
bocado bouchée
fothen fothen
griego grec
biólogo biologiste
euskalit euskalit
channel channel
joëlle joëlle
damiano damiano
cruel cruel
disgusto contrariété
platillo soucoupe
tebas thèbes
alien alien
logístico logistique
ansiedad anxiété
natividad natividad
jonia ionie
monstruosidad monstruosité
rebote rebond
serbia serbie
landaluze landaluze
moscovia moscovie
frotar frotter
unilateral unilatéral
ileso indemne
entrever entrevoir
cronómetro chronomètre
orozco orozco
eitb eitb
anne-sophie anne-sophie
incontrolable incontrôlable
candela candela
libertad liberté
domenico domenico
tiffany tiffany
initiative initiative
ile-de-france ile-de-france
ops ops
periférico périphérique
casco casque
qué quel
ganadero éleveur
hospital hopital
desarrollar développer
razonable raisonnable
septiembre septembre
vice vice
territorial territorial
enganchar atteler
esopo ésope
eure eure
basar baser
gales galles
littell littell
atender répondre
hospitalización hospitalisation
itunes itunes
bellotti bellotti
pilar pilier
morán morán
desiderio desiderio
relajante relaxant
muriel muriel
amaranto amarante
concurso concours
muntaner muntaner
soplo souffle
estimar estimer
zapata zapata
rumania roumanie
follar baiser
roldán roldán
dushambe stalinabad
policía policier
conjuntamente conjointement
música musique
alambrada grillage
insomnio insomnie
dorsal dorsal
schmitz schmitz
otoño automne
abeto sapin
aguinaga aguinaga
legislación législation
decantación décantation
guéant guéant
amonal ammonal
salario salaire
n n
hidráulico hydraulique
resonar résonner
kouchner kouchner
asma asthme
emparejar appareiller
coloquial familier
ebay ebay
lazkano lazkano
delhi delhi
legendario légendaire
nehavend nahavand
corrales corrales
superar franchir
mero mérou
radical radical
milenio millénaire
británico britannique
acordeonista accordéoniste
vegetal végétal
acik acik
penalidad pénalité
conductividad conductivité
después puis
promotor promoteur
krutxaga krutxaga
coronel colonel
mantener tenir
cosmopolita cosmopolite
pesar peser
apuntalar étayer
irónico ironique
tocar toucher
real real
schröder schröder
fumador fumeur
angelu anglet
limitar limiter
zulaika zulaika
serpiente serpent
instrumentalización instrumentalisation
nefasto néfaste
revolucionario révolutionnaire
abdel abdel
kingstown kingstown
fulminante foudroyant
hacienda ferme
circunstancial circonstanciel
luna lune
bikini bikini
guantánamo guantánamo
carlos carlos
pataky pataky
grado degré
arnaud arnaud
miedo peur
cazador chasseur
directivo directif
sandy sandy
akihito akihito
presley presley
rod rod
sagarzazu sagarzazu
joaquín joaquín
mayor majeur
catania catane
riesgo risque
aquel celui-là
albiceleste blanc-azur
excelencia excellence
pardo pardo
locomotora locomotive
confidente indicateur
dimitir démissionner
plentzia plentzia
medallista médaillé
entorno environnement
alone alone
monetario monétaire
bagdad bagdad
empatar égaliser
cola queue
deseo désir
encargar charger
perceptible perceptible
realojo reloge
cherski tcherski
rafsandjani rafsandjani
hrant hrant
característico caractéristique
aciago malheureux
test test
ineligibilidad inéligibilité
ibaeta ibaeta
ovación ovation
piter piter
zen zen
obarema obarema
probable probable
llanto pleur
godard godard
simbolismo symbolisme
comprometer embarrasser
montón tas
barra barre
perú pérou
altolagirre altolagirre
vigilar surveiller
fecundidad fécondité
consistir consister
lovaina louvain
escriturar instrumenter
abisal abyssal
lucas lucas
degollar égorger
dramatización dramatisation
alkarbide alkarbide
afectado affecté
sedentarismo sédentarité
fruncir froncer
collantes collantes
andersen andersen
aiocc aiocc
colectividad collectivité
erradicar éradiquer
bermúdez bermúdez
anuario annuaire
conseguir réussir
sala salle
viejo vieux
chile chili
contemplar contempler
acentuación accentuation
detonación détonation
incremento accroissement
guridi guridi
destruir détruire
cautelarmente préventivement
prestatario prestataire
copiar copier
extender tendre
pulsera bracelet
urizar urizar
languedoc-rosellón languedoc-roussillon
respectivo respectif
imponer imposer
fluir couler
componer composer
hervé hervé
apuntar viser
ies ies
jávea jávea
saint-michel saint-michel
tarbes tarbes
joven jeune
tomador bénéficiaire
inmigrante immigrant
sáiz sáiz
homicidio meurtre
achero achero
inocuidad innocuité
masturbación masturbation
piscis poissons
antebrazo avant-bras
redefinir redéfinir
península péninsule
andorrano andorran
mecánico mécanicien
haber actif
comprobar vérifier
martha martha
acebo acebo
pino pin
recargo surcharge
aceptación acceptation
voltaje voltage
pensamiento pensée
calcuta calcutta
ágil agile
bezat bezat
médiamétrie médiamétrie
clemenceau clemenceau
aranjuez aranjuez
loar louer
temario programme
representatividad représentativité
prozac prozac
contar compter
descristianización déchristianisation
josetxo josetxo
haro haro
plusvalía plus-value
adorable adorable
culto culte
perseguidor persécuteur
acceder accéder
exterminio extermination
descubrir déceler
bioética bioéthique
vulgaridad vulgaire
acasiete acasiete
harry harry
antígona antigone
remitir expédier
pómulo pommette
sébastien sébastien
rubio blond
obedecer obéir
bastón bâton
mío mon
desplazar déplacer
precarización précarisation
páncreas pancréas
roger roger
investigar rechercher
aplauso applaudissement
esperanza espérance
mágico magique
atalaya guette
demografía démographie
m m
arc arc
exportación exportation
apalantza apalantza
toga toge
mocteto moctet
kike kike
monumento monument
trentin trentin
clearstream clearstream
cunego cunego
ponderar pondérer
exhaustividad exhaustivité
cónsul consul
beneyto beneyto
aalborg aalborg
patrocinador sponsor
módena modéne
personaje personnage
detención detention
lo le
incumplimiento inaccomplissement
irkutsk irkoutsk
parto partie
dilucidar élucider
tulle tulle
bancarrota banqueroute
inherente inhérent
prebostes prebostes
original original
aquel ce
operar opérer
mudo muet
afaadas afaadas
pluma plume
unzueta unzueta
embalse barrage
trascurrir passer
concluir conclure
júbilo joie
ridículo ridicule
imán aimant
helicóptero hélicoptère
líder leader
fotonoticia photonouvelle
grandioso grandiose
pacifista pacifiste
entablar intenter
influir influencer
demostrar démontrer
getz getz
animador animateur
aniquilar anéantir
bendición bénédiction
subdesarrollado sous-développé
arenberg arenberg
hurón huron
hombro épaule
captación captage
cliente client
micro micro
despedida adieu
previsión prévision
regeneración régénération
jubilación retraite
desclasificación déclassification
anartz anartz
peluca perruque
ceremonia cérémonie
ecofinanciación éco-financement
maduración maturation
amezcua amezcua
acorde accord
anatolia anatolie
descendiente descendant
aintzane aintzane
boxear boxer
ahí ici
mail e-mail
suyo son
escalar escalader
cautelar préventif
año année
inquieto inquiet
tours tours
islandés islandais
amalia amalia
ural oural
ternura tendresse
irlandés irlandais
richardson richardson
joseph joseph
robien robien
provechoso profitable
rescisión résiliation
sostenibilidad durabilité
tecnología technologie
imitar singer
expediente dossier
borrador brouillon
fregar frotter
jurar sacrer
balance bilan
desconcertar déconcerter
patinaje patinage
norberto norberto
tonga tonga
allaman allaman
gregory gregory
rrhh rh
manila manille
rotterdam rotterdam
reconversión reconversion
inventividad inventivité
johann johann
presente présent
whisky whisky
especiero épicier
aguardar attendre
segmentación segmentation
típicamente typiquement
legitimidad légitimité
nieve neige
desplomar écrouler
dermoepidérmico dermo-épidermique
ikerbasque ikerbasque
fortalecimiento renforcement
dirham dirham
estrosi estrosi
aprobación approbation
korshunova korshunova
guy guy
quebrar briser
suscribir soussigner
amegrove amegrove
chollo occase
podología podologie
franck franck
jaio jaio
publicar publier
somalí somalien
guijarro guijarro
conjugación conjugaison
civilización civilisation
comprender comprendre
toledo tolède
itziar itziar
manifestación manifestation
relevancia importance
aguirrezabalaga aguirrezabalaga
arabsat arabsat
ibiza ibiza
cronológico chronologique
leioa leioa
anquilosamiento stagnation
judío juif
tigresa tigresse
multa amende
próspero prospère
idear concevoir
coen coen
inventar inventer
delfos delphes
escolar écolier
arrupe arrupe
asturias asturies
frontón fronton
túnez tunis
insoluble insoluble
iraquí irakien
designar désigner
levantar dresser
danièle danièle
betabloqueador bêtabloquant
olivo olivier
cólquida colchide
murciano murcien
ramiro ramiro
terror terreur
consolidación consolidation
filtro filtre
caín caïn
civilizar policer
hipótesis hypothèse
analista analyste
suní sunnite
palmera palmera
recalcular recalculer
agravar aggraver
xiii xiiième
terrorismo terrorisme
listar lister
extranjero étranger
presionar cliquer
creer croire
zinédine zinédine
explicar expliquer
cabina cabine
saint-lô saint-lô
casilla casilla
satélite satellite
stewart stewart
valaquia valachie
déficit déficit
se se
sófocles sophocle
reducción reduction
mediterráneo méditerranéen
kaz kaz
torras torras
combatiente combattant
preguntar demander
tranquilizar accalmir
gestual gestuel
zimbabue zimbabwe
áspero âpre
aprendizaje apprentissage
amenaza menace
morfeo morphée
mediterráneo méditerranée
pedrisco grêle
originario originaire
analizar analyser
evaluación évaluation
fácilmente facilement
lachmann lachmann
fortuna fortune
avión avion
centralita standard
irujo irujo
mogadiscio mogadiscio
suspiro soupir
balizaje balisage
seychelles seychelles
dd/mm/aaaa jj/mm/aaaa
incriminar incriminer
andia andia
telecom telecom
zarautz zarautz
supervisión supervision
decker decker
crespo crespo
sobrecargar surcharger
zubeldia zubeldia
nissan nissan
remei remei
magda magda
alfons alfons
recientemente récemment
calcinar calciner
acatar obéir
maquinista machiniste
bourg-lès-valence bourg-lès-valence
etxarri-aranatz etxarri-aranatz
rrdtool rrdtool
juárez juárez
nuestro notre
arana arana
rick rick
disminución diminution
smithies smithies
comentario commentaire
castellanización castillanisation
uribarri uribarri
radicalismo radicalisme
fijar fixer
stormont stormont
alzuza alzuza
escudero escudero
convencer convaincre
latitud latitude
educación éducation
red filet
elevado haut
aliviar soulager
aitor aitor
olvido oubli
aldag aldag
endoso endossement
antropología anthropologie
ponderación pondération
archibald archibald
kandahar kandahar
rené rené
mueble meuble
puntero indicateur
halicarnaso halicarnasse
conde conde
afectar affecter
karen karen
frigorífico frigorifique
consiguiente conséquent
parís paris
ruth ruth
monasterio monastère
tarento tarente
descargar télécharger
coordinado coordonné
receptor récepteur
transeúnte passant
andima andima
trágico tragique
despido licenciement
aixerrota aixerrota
nancy nancy
columna colonne
sindicato syndicat
paolini paolini
debidamente dûment
areatza areatza
fastidioso fastidieux
oreja oreille
intemporalidad intemporalité
entusiasmar enthousiasmer
acdh acdh
godella godella
orbea orbea
satírico satirique
inmersión immersion
burqa bourka
kofi kofi
interior intérieur
yacer gésir
arbizu arbizu
adicional additionnel
herencia héritage
catalanidad catalanité
cerdeña sardaigne
aldeanueva aldeanueva
adriano adriano
alarmista alarmiste
exclusividad exclusivité
máximo maximal
clausura fermeture
vulneración violation
autócrata autocrate
multinacional multinationale
souto souto
radar radar
minorista détaillant
soportable supportable
hussein hussein
tornar revenir
solicitación sollicitation
peseta peseta
actriz actrice
actitud attitude
albuera albuera
mutxamel muchamiel
iniciativa initiative
diecinueve dix-neuf
alston alston
marcador marqueur
implicar concerner
cuarto quatrième
ref ref
ismael ismael
flor fleur
ladrar aboyer
acceso accès
copiar recopier
manu manu
gracioso drôle
reaccionario réactionnaire
prodigio prodige
cuanto combien
penn penn
ranura rainure
coser coudre
demora retard
guggenheim guggenheim
lucien lucien
refundición refondation
incierto incertain
bill bill
jukebox jukebox
rellano palier
lauvergeon lauvergeon
escandinavia scandinavie
psicólogo psychologue
administrativo administratif
paradójico paradoxal
núria núria
barroso barroso
licenciatura licence
contagiar contaminer
amann amann
matthias matthias
desinformación désinformation
reseñar rapporter
jazz jazz
correo courrier
amr amr
aversión aversion
kilómetro kilomètre
demandante plaignant
decepción désappointement
sobreactividad suractivité
aaium aaium
rechazar éconduire
este ce
chófer chauffeur
profundizar approfondir
sereno serein
profesionalidad professionnalisme
cartulina carte
rumbo rhumb
arafat arafat
mazeaud mazeaud
deambulación déambulation
aplastamiento écrasement
funafuti funafuti
provisión provision
tubería tuyauterie
burjassot burjassot
bandido bandit
créteil créteil
reagan reagan
asustar effrayer
vulgaridad vulgarité
tristeza tristesse
cerdaña cerdagne
suzuki suzuki
co2 co2
navalón navalón
burofax fax
becerril becerril
circular circulaire
flexibilidad flexibilité
gérald gérald
nulidad nullité
tolomeo ptolémée
aguacero averse
yvette yvette
dorar dorer
boulogne-sur-mer boulogne-sur-mer
delgado mince
geofísico géophysique
análisis analyse
ápice iota
aizpitarte aizpitarte
rss rss
metamorfosis métamorphose
xerez xerez
plasmar refléter
incógnita inconnue
renovable renouvelable
automoción automobile
ferocidad férocité
araque araque
euribor euribor
filippo filippo
vaticinar vaticiner
milímetro millimètre
lograr remporter
riada crue
arrate arrate
bidassoa bidasoa
coro coeur
panathinaikos panathinaïkós
llorens llorens
aldaia aldaia
aferrar crocher
roma rome
injusticia injustice
billabong billabong
amabilidad amabilité
rugby rugby
olentzaro olentzaro
listón latte
rana grenouille
criminalidad criminalité
toni toni
voynet voynet
mungia mungia
desinfección désinfection
telecom télécom
interferencia interférence
totalmente entièrement
apia apia
nitrógeno nitrogène
catálogo catalogue
inconsciente inconscient
nómada nomade
taquilla guichet
terciopelo velours
recesión récession
julen julen
observatorio observatoire
turno tour
jamaicano jamaïcain
filadelfia philadelphie
administrador administrateur
librar défausser
adinan adinan
telescopio télescope
majuro majuro
éve éve
jean-christophe jean-christophe
aquel ce
puerto port
lúdico ludique
imaginar imaginer
robinson robinson
astur asturien
bolita boulette
trabzon trébizonde
bernardo bernardo
infantil infantile
húmedo humide
suyo leur
velocidad vitesse
jardín jardin
recomposición recomposition
confrontar confronter
mercantil mercantile
pomares pomares
aspiración aspiration
ficha jeton
barriga ventre
larijani larijani
instituto institut
tumba tombe
urgencia urgence
gincana gymkhana
confesar avouer
aviñón avignon
platero platero
amablemente aimablement
retorno retour
altomare altomare
tracia thrace
milesi milesi
corredor coureur
rafael rafael
perfecto parfait
predecesor prédécesseur
cordero mouton
aranzubi aranzubi
lunar lunaire
diamante diamant
reinterpretación réinterprétation
checo tchèque
asemejar ressembler
élite élite
concesionario concessionnaire
desdichadamente malheureusement
tratos tratos
sanz sanz
ansó ansó
exilio exil
alatriste alatriste
costero côtier
taraf taraf
paño torchon
benéfico bénéfique
gris gris
albacete albacete
reconstitución reconstitution
hidalgo gentilhomme
valencia valence
martes mardi
cotización cotisation
aumento regain
areiltza areiltza
armonizar harmoniser
minimizar minimiser
permiso permis
confuso confus
aizarnazabal aizarnazabal
marina marina
peligroso dangereux
agnolutto agnolutto
físicamente physiquement
corinto corinthe
destituir destituer
palikir palikir
alhambra alhambra
navarro navarrais
recibo reçu
exhaustivo exhaustif
mcdonald's mcdonald's
ambientar situer
delanoë delanoë
carnicero boucher
aparear accoupler
mobile mobile
andrey andrey
simplificación simplification
abonar abonner
últimamente dernièrement
felicitar féliciter
comisión commission
cursor curseur
valentino valentino
alimenticio alimentaire
eitb24 eitb24
agrupar grouper
sabine sabine
corrèze corrèze
eficiente performant
experiencia acquis
acentuar accentuer
alud avalanche
alternado alterné
heredero héritier
aproximadamente approchant
inimaginable inimaginable
ruán rouen
ereaga ereaga
querella querelle
lisímaco lysimaque
anarquía anarchie
bobadilla bobadilla
teñir teindre
embajador ambassadeur
absynthe absinthe
wiggins wiggins
asesor conseiller
fédéric fédéric
tiran tiran
redistribuir redistribuer
ángelus angélus
orfeo orphée
maniquí mannequin
seis six
resplandor éclat
peloponeso péloponnèse
agrario agraire
deducir déduire
asociacionismo associationnisme
regulación regulation
abad abbé
reeditar rééditer
domesticación domestication
angoleño angolais
apache apache
kioto kyoto
gadé gadé
canberra canberra
publicidad publicité
aconsejable conseillable
angiolo angiolo
idigoras idigoras
formativo formatif
migratorio migrateur
chuletón côte
volver revenir
caridad charité
laguiole laguiole
argoitia argoitia
peter peter
retributivo rétributif
quebrantahuesos gypaète
patín patin
aldrove aldrove
islam islam
brunéi brunéi
rebelión rébellion
ancelotti ancelotti
disponer disposer
ciruela prune
escorpión scorpion
figueras figueras
remachar river
infailibilidad infaillibilité
palazuelo palazuelo
re ré
iberflora iberflora
generador générateur
hansen hansen
intertoto intertoto
decrecer diminuer
brillante luisant
leblanc leblanc
legarreta legarreta
directamente directement
cada chaque
carlota carlota
eso cela
mbabane mbabane
beneficiar bénéficier
stepanakert stepanakert
benavent benavent
delegado délégué
lacoste lacoste
apóstata apostat
arkaitz arkaitz
ensayo essai
fenomenal phénoménal
substancia substance
web web
clima météo
chabola hutte
maximo maximo
varga varga
hungria hungrie
andrinua andrinua
bruguera bruguera
cleopatra cléopâtre
real réel
percepción perception
elefante éléphant
ropa vêtement
acordonamiento encerclement
florencia florence
desgranar énumérer
despoblación dépopulation
sucesión succession
forjar forger
detrimento détriment
errent errent
sui sui
valorización valorisation
alderdi alderdi
clara clara
partícipe participant
mamés mamés
acinas acinas
millán millán
cabeza tête
incompetencia incompétence
paulino paulino
feo laid
avistamiento vue
aquel celui-là
conflicto conflit
gracioso gracieux
desfile défilé
palabra mot
apuesta pari
aislante isolant
günter günter
asombroso étonnant
veiga veiga
prefecto préfet
insensato insensé
información renseignement
necesidad nécessité
mediante moyennant
lieberman lieberman
antaño autrefois
embargar saisir
